Id,Brands,Model,Engines,Engine_capacity_in_cc,HorsePower_in_HP,HorsePower_in_HP_2,Max_speed_in_km/h,Time_to_100kmph_sec,Price_Min,Price_Max,Seats,Torque_in_Nm,Torque_in_Nm_2,Fuel_1,Fuel_2,Fuel_3
0,Ferrari,SF90 STRADALE,V8,"3,990",963,963,340.000,2.500,"1,100,000.000","1,100,000.000",2,800,800,Petrol,Hybrid,Diesel
1,Rolls royce,PHANTOM,V12,"6,749",563,563,250.000,5.300,"460,000.000","460,000.000",5,900,900,Petrol,NA,NA
2,Ford,KA+,1.2L Petrol,"1,200",70,85,165.000,10.500,"12,000.000","15,000.000",5,100,140,Petrol,NA,NA
3,Mercedes, GT 63 S,V8,"3,982",630,630,250.000,3.200,"161,000.000","161,000.000",4,900,900,Petrol,NA,NA
4,Audi,AUDI R8 Gt,V10,"5,204",602,602,320.000,3.600,"253,290.000","253,290.000",2,560,560,Petrol,NA,NA
5,Bmw,Mclaren 720s,V8,"3,994",710,710,341.000,2.900,"499,000.000","499,000.000",2,770,770,Petrol,NA,NA
6,Aston martin,VANTAGE F1,V8,"3,982",656,656,314.000,3.600,"193,440.000","193,440.000",2,685,685,Petrol,NA,NA
7,Bentley,Continental GT Azure,V8,"3,996",550,550,318.000,4.000,"311,000.000","311,000.000",4,900,900,Petrol,NA,NA
8,Lamborghini,VENENO ROADSTER,V12,"6,498",750,750,356.000,2.900,"4,500,000.000","4,500,000.000",2,690,690,Petrol,NA,NA
9,Ferrari,F8 TRIBUTO,V8,"3,900",710,710,340.000,2.900,"280,000.000","280,000.000",2,770,770,Petrol,NA,NA
10,Ferrari,812 GTS,V12,"6,496",789,789,340.000,2.900,"350,000.000","350,000.000",2,718,718,Petrol,NA,NA
11,Ferrari,PORTOFINO,V8,"3,900",592,592,320.000,3.200,"210,000.000","210,000.000",2,760,760,Petrol,NA,NA
12,Ferrari,ROMA,V8,"3,900",612,612,320.000,3.400,"230,000.000","230,000.000",2,760,760,Petrol,NA,NA
13,Ferrari,MONZA SP2,V12,"6,496",789,789,340.000,2.900,"1,700,000.000","1,700,000.000",2,719,719,Petrol,NA,NA
14,Ferrari,F8 SPIDER,V8,"3,900",710,710,340.000,2.900,"280,000.000","280,000.000",2,770,770,Petrol,NA,NA
15,Ferrari,PORTOFINO M,V8,"3,900",612,612,320.000,3.200,"220,000.000","220,000.000",2,760,760,Petrol,NA,NA
16,Ferrari,ROMA SPIDER,V8,"3,900",612,612,320.000,3.400,"240,000.000","240,000.000",2,760,760,Petrol,NA,NA
17,Toyota,GR SUPRA,I4,"2,998",382,382,250.000,4.100,"53,900.000","53,900.000",2,500,500,Petrol,NA,NA
18,Toyota,TOYOTA 86,BOXER-4,"1,998",205,205,226.000,6.400,"27,000.000","27,000.000",2,205,205,Petrol,NA,NA
19,Toyota,TOYOTA  GR86,BOXER-4,"2,387",228,228,226.000,5.600,"30,000.000","30,000.000",4,250,250,Petrol,NA,NA
20,Toyota,TOYOTA LAND CRUISER,V8,"5,663",381,381,220.000,6.700,"85,000.000","85,000.000",7,500,500,Diesel,NA,NA
21,Toyota,TOYOTA SEQUOIA,V8,"5,663",381,381,200.000,6.900,"50,000.000","50,000.000",7,651,651,Petrol,NA,NA
22,Nissan,GT-R,V6,"3,799",600,600,315.000,2.900,"113,000.000","113,000.000",4,637,637,Petrol,NA,NA
23,Nissan,370Z,V6,"3,696",332,332,250.000,4.700,"30,000.000","30,000.000",2,366,366,Petrol,NA,NA
24,Nissan,Z PROTO,V6,"2,998",400,400,290.000,4.100,"40,000.000","40,000.000",2,475,475,Petrol,NA,NA
25,Nissan,ALTIMA,I4,"2,488",188,188,225.000,7.300,"25,000.000","25,000.000",5,380,380,Petrol,NA,NA
26,Nissan,MAXIMA,V6,"3,498",300,300,240.000,5.800,"35,000.000","35,000.000",5,354,354,Petrol,NA,NA
27,Nissan,SENTRA,I4,"1,998",149,149,200.000,8.200,"20,000.000","20,000.000",5,240,240,Petrol,NA,NA
28,Nissan,ROGUE,I4,"2,488",201,201,200.000,7.500,"28,000.000","28,000.000",5,270,270,Petrol,NA,NA
29,Nissan,PATHFINDER,V6,"3,498",284,284,225.000,6.500,"35,000.000","35,000.000",7,351,351,Petrol,NA,NA
30,Nissan,FRONTIER,V6,"3,799",310,310,180.000,6.800,"30,000.000","30,000.000",5,381,381,Petrol,NA,NA
31,Nissan,TITAN,V8,"5,598",400,400,200.000,5.900,"40,000.000","40,000.000",5,560,560,Petrol,NA,NA
32,Aston martin,VALKYRIE,V12,"6,496","1,160","1,160",402.000,2.500,"3,200,000.000","3,200,000.000",2,900,900,Hybrid,NA,NA
33,Aston martin,VALHALLA,V8,"3,996","1,000","1,000",362.000,2.500,"1,100,000.000","1,100,000.000",2,"1,000","1,000",Hybrid,NA,NA
34,Aston martin,DBS SUPERLEGGERA,V12,"5,204",715,715,340.000,3.400,"316,000.000","316,000.000",2,900,900,Petrol,NA,NA
35,Aston martin,DB11,V12,"5,204",600,600,322.000,3.900,"208,000.000","208,000.000",4,700,700,Petrol,NA,NA
36,Aston martin,VANTAGE ,V8,"3,996",503,503,313.000,3.600,"142,000.000","142,000.000",2,685,685,Petrol,NA,NA
37,Aston martin,DBX,V8,"3,996",542,542,291.000,4.500,"189,000.000","189,000.000",5,700,700,Petrol,NA,NA
38,Aston martin,RAPIDE AMR,V12,"5,935",580,580,328.000,4.200,"240,000.000","240,000.000",4,630,630,Petrol,NA,NA
39,Aston martin,VANQUISH,V12,"5,935",580,580,324.000,3.600,"294,000.000","294,000.000",2,630,630,Petrol,NA,NA
40,Aston martin,LAGONDA TARAF,V12,"5,935",540,540,314.000,4.200,"1,100,000.000","1,100,000.000",4,630,630,Petrol,NA,NA
41,Aston martin,VICTOR,V12,"5,204",836,836,320.000,2.800,"1,300,000.000","1,300,000.000",2,821,821,Petrol,NA,NA
42,Lamborghini,SIAN,V12,"6,498",819,819,350.000,2.800,"2,800,000.000","2,800,000.000",2,720,720,Hybrid,NA,NA
43,Lamborghini,AVENTADOR SVJ,V12,"6,498",759,759,350.000,2.800,"518,000.000","518,000.000",2,720,720,Petrol,NA,NA
44,Lamborghini,HURACAN PERFORMANTE,V10,"5,204",640,640,325.000,2.900,"274,000.000","274,000.000",2,600,600,Petrol,NA,NA
45,Lamborghini,HURACAN EVO,V10,"5,204",640,640,325.000,2.900,"261,000.000","261,000.000",2,600,600,Petrol,NA,NA
46,Lamborghini,AVENTADOR SV,V12,"6,498",740,740,350.000,2.800,"493,000.000","493,000.000",2,690,690,Petrol,NA,NA
47,Lamborghini,URUS ,V8,"3,996",641,641,305.000,3.600,"211,000.000","211,000.000",5,850,850,Petrol,NA,NA
48,Lamborghini,HURACAN SPYDER,V10,"5,204",610,610,325.000,3.400,"287,000.000","287,000.000",2,600,600,Petrol,NA,NA
49,Lamborghini,AVENTADOR ROADSTER,V12,"6,498",700,700,350.000,3.000,"445,000.000","445,000.000",2,690,690,Petrol,NA,NA
50,Lamborghini,HURACAN  PERFORMANTE SPYDER,V10,"5,204",640,640,325.000,3.100,"308,000.000","308,000.000",2,600,600,Petrol,NA,NA
51,Lamborghini,AVENTADOR S,V12,"6,498",740,740,350.000,2.900,"421,000.000","421,000.000",2,690,690,Petrol,NA,NA
52,Lamborghini,HURACAN EVO SPYDER,V10,"5,204",640,640,325.000,3.100,"287,000.000","287,000.000",2,600,600,Petrol,NA,NA
53,Lamborghini,URUS PERFORMANTE,V8,"3,996",641,641,305.000,3.300,"242,000.000","242,000.000",5,850,850,Petrol,NA,NA
54,Lamborghini,AVENTADOR ULTIMAE,V12,"6,498",769,769,355.000,2.800,"545,000.000","545,000.000",2,720,720,Petrol,NA,NA
55,Lamborghini,HURACAN EVO RWD,V10,"5,204",610,610,325.000,3.300,"258,000.000","258,000.000",2,560,560,Petrol,NA,NA
56,Lamborghini,AVENTADOR SVJ ROADSTER,V12,"6,498",759,759,350.000,2.900,"573,000.000","573,000.000",2,720,720,Petrol,NA,NA
57,Lamborghini,URUS S,V8,"3,996",671,671,305.000,3.300,"263,000.000","263,000.000",5,850,850,Petrol,NA,NA
58,Lamborghini,HURACAN STO,V10,"5,204",640,640,325.000,3.000,"327,000.000","327,000.000",2,565,565,Petrol,NA,NA
59,Lamborghini,AVENTADOR LP 780-4 ULTIMATE,V12,"6,498",769,769,355.000,2.800,"545,000.000","545,000.000",2,720,720,Petrol,NA,NA
60,Lamborghini,HURACAN EVO RWD SPYDER,V10,"5,204",610,610,325.000,3.300,"273,000.000","273,000.000",2,600,600,Petrol,NA,NA
61,Lamborghini,AVENTADOR SVJ XAGO,V12,"6,498",759,759,350.000,2.900,"603,000.000","603,000.000",2,720,720,Petrol,NA,NA
