id,Brands,Model,Engines,Engine_capacity_in_cc,HorsePower_in_HP,HorsePower_in_HP_2,Max_speed_in_km/h,Time_to_100kmph_sec,Price_Min,Price_Max,Seats,Torque_in_Nm,Torque_in_Nm_2,Fuel_1,Fuel_2,Fuel_3
0,Ferrari,SF90 STRADALE,V8,3990,963,963,340.0,2.5,1100000.0,1100000.0,2,800,800,plug,in,hyrbrid
1,Rolls royce,PHANTOM,V12,6749,563,563,250.0,5.3,460000.0,460000.0,5,900,900,Petrol,,
2,Ford,KA+,1.2L Petrol,1200,70,85,165.0,10.5,12000.0,15000.0,5,100,140,Petrol,,
3,Mercedes, GT 63 S,V8,3982,630,630,250.0,3.2,161000.0,161000.0,4,900,900,Petrol,,
4,Audi,AUDI R8 Gt,V10,5204,602,602,320.0,3.6,253290.0,253290.0,2,560,560,Petrol,,
5,Bmw,Mclaren 720s,V8,3994,710,710,341.0,2.9,499000.0,499000.0,2,770,770,Petrol,,
6,Aston martin,VANTAGE F1,V8,3982,656,656,314.0,3.6,193440.0,193440.0,2,685,685,Petrol,,
7,Bentley,Continental GT Azure,V8,3996,550,550,318.0,4.0,311000.0,311000.0,4,900,900,Petrol,,
8,Lamborghini,VENENO ROADSTER,V12,6498,750,750,356.0,2.9,4500000.0,4500000.0,2,690,690,Petrol,,
9,Ferrari,F8 TRIBUTO,V8,3900,710,710,340.0,2.9,280000.0,280000.0,2,770,770,Petrol,,
10,Ferrari,812 GTS,V12,6496,789,789,340.0,2.9,350000.0,350000.0,2,718,718,Petrol,,
11,Ferrari,PORTOFINO,V8,3900,592,592,320.0,3.2,210000.0,210000.0,2,760,760,Petrol,,
12,Ferrari,ROMA,V8,3900,612,612,320.0,3.4,230000.0,230000.0,2,760,760,Petrol,,
13,Ferrari,MONZA SP2,V12,6496,789,789,340.0,2.9,1700000.0,1700000.0,2,719,719,Petrol,,
14,Ferrari,F8 SPIDER,V8,3900,710,710,340.0,2.9,280000.0,280000.0,2,770,770,Petrol,,
15,Ferrari,PORTOFINO M,V8,3900,612,612,320.0,3.2,220000.0,220000.0,2,760,760,Petrol,,
16,Ferrari,ROMA SPIDER,V8,3900,612,612,320.0,3.4,240000.0,240000.0,2,760,760,Petrol,,
17,Toyota,GR SUPRA,I4,2998,382,382,250.0,4.1,53900.0,53900.0,2,500,500,Petrol,,
18,Toyota,TOYOTA 86,BOXER-4,1998,205,205,226.0,6.4,27000.0,27000.0,2,205,205,Petrol,,
19,Toyota,TOYOTA  GR86,BOXER-4,2387,228,228,226.0,5.6,30000.0,30000.0,4,250,250,Petrol,,
20,Toyota,TOYOTA LAND CRUISER,V8,5663,381,381,220.0,6.7,85000.0,85000.0,7,500,500,Diesel,,
21,Toyota,TOYOTA SEQUOIA,V8,5663,381,381,200.0,6.9,50000.0,50000.0,7,651,651,Petrol,,
